
k1 = 0.308 k2 = 1k3 = 1 Left(4)- mean: 51.27411744008036 standard deviation: 7.76627330598428 Right(17)- mean: 54.56104626393522 standard deviation: 6.075792153156988 quality = 7.575364560726522e-06
k1 = 0 k2 = -0.838 k3 = 0 Left(4)- mean: 42.4077529860431 standard deviation: 8.582108491358046 Right(17)- mean: 43.28523033555228 standard deviation: 9.8176286664995 quality = 0.0
k1 = 0 k2 = -0.834 k3 = 0 Left(4)- mean: 41.39413437700727 standard deviation: 8.15079413089879 Right(17)- mean: 36.55821885732702 standard deviation: 9.922539694566163 quality = 0.0
k1 = 0 k2 = -0.91 k3 = 0 Left(4)- mean: 41.091415804203116 standard deviation: 7.334522055824092 Right(17)- mean: 45.00235900652659 standard deviation: 11.397450841627071 quality = 0.0
k1 = 0 k2 = 0.668 k3 = 0 Left(4)- mean: 44.736300591220505 standard deviation: 4.571067543240036 Right(17)- mean: 44.669059571689765 standard deviation: 5.935342531098819 quality = 0.0
k1 = 0 k2 = -0.512 k3 = 0 Left(4)- mean: 42.443263246615096 standard deviation: 9.329971797749536 Right(17)- mean: 43.141283362621735 standard deviation: 9.67295803199419 quality = 0.0
k1 = 0 k2 = 0.95 k3 = 0 Left(4)- mean: 44.822961743373945 standard deviation: 4.683057070321132 Right(17)- mean: 44.82326647629716 standard deviation: 5.530948000144658 quality = 0.0
k1 = 0 k2 = 0.18 k3 = 0 Left(4)- mean: 44.04202208177444 standard deviation: 4.682295541477287 Right(17)- mean: 43.859648418486735 standard deviation: 5.786033484731189 quality = 0.0191
k1 = 0 k2 = 0.66 k3 = 0 Left(4)- mean: 44.772475923386374 standard deviation: 5.045574171394151 Right(17)- mean: 44.71224604870686 standard deviation: 5.298544264461077 quality = 0.0187
k1 = 0 k2 = 0.78 k3 = 0 Left(4)- mean: 44.787927721965104 standard deviation: 5.298264693231028 Right(17)- mean: 44.74215075962053 standard deviation: 5.252471166979579 quality = 0.0179
k1 = 0 k2 = 0.5 k3 = 0 Left(4)- mean: 44.690371291576795 standard deviation: 5.138509909040744 Right(17)- mean: 44.56083647476847 standard deviation: 5.602301445729604 quality = 0.0174
k1 = 0 k2 = -0.18 k3 = 0 Left(4)- mean: 42.285966147420375 standard deviation: 10.764463255162742 Right(17)- mean: 42.32333815781567 standard deviation: 10.168089356000673 quality = 0.0051
k1 = 0 k2 = -0.22 k3 = 0 Left(4)- mean: 42.71426503217165 standard deviation: 10.87119618838002 Right(17)- mean: 42.70588078012751 standard deviation: 10.160347175872356 quality = 0.005
